[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16274 (oilderricklod02) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16275 (oilderricklod03) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16276 (oilderricklod04) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16277 (oilderricklod05) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16278 (oilderricklod06) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16279 (oilderricklod07) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3682 (lod_refinerybase) to HLOD 3673 (laxrf_refinerybase), which already has LLOD 3682 (lod_refinerybase) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3682 (lod_refinerybase) to HLOD 3673 (laxrf_refinerybase), which already has LLOD 3682 (lod_refinerybase) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3683 (lod_indust1las) to HLOD 3636 (indust1las_las), which already has LLOD 3683 (lod_indust1las) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3683 (lod_indust1las) to HLOD 3636 (indust1las_las), which already has LLOD 3683 (lod_indust1las) - countn2  [DUP x4]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3291 (lod_ref_oiltank) to HLOD 3255 (ref_oiltank01), which already has LLOD 3291 (lod_ref_oiltank) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3291 (lod_ref_oiltank) to HLOD 3255 (ref_oiltank01), which already has LLOD 3291 (lod_ref_oiltank) - countn2  [DUP x2]
